Date,Company,Channel,Lang,Title,URL
2026-05-20,Puravankara Ltd,Zee Business,Hindi,Real Estate Market Heating Up? Puravankara CEO Explains Everything,https://www.youtube.com/watch?v=r18SBuj7V8A
2026-05-20,Shankara Buildpro Ltd,Zee Business,Hindi,Result Boardroom | Shankara Buildpro Profit Jumps Big! What’s Driving Growth? MD Sukumar Srinivas,https://www.youtube.com/watch?v=QcDquvRpNcc
2026-05-19,Hindustan Copper Ltd,CNBC Awaaz,Hindi,Hindustan Copper के Q4 नतीजों और कॉपर की डिमांड पर CMD Sanjiv Kumar Singh से जानिए आउटलुक,https://www.youtube.com/watch?v=q9mGp_J5_ws
2026-05-19,Hindustan Copper Ltd,ET NOW,English,"Hindustan Copper Q4: CMD Explains 54% EBITDA Margin, Copper Rally & Expansion Plans | Business News",https://www.youtube.com/watch?v=kvazST-Lqr4
2026-05-18,HDFC Bank Ltd,ET NOW,English,HDFC Bank Chairman Race Heats Up; NRC Likely To Shortlist Candidates Soon | ET Now Exclusive,https://www.youtube.com/watch?v=dIoqTwDTUA4
2026-05-18,Tata Steel Ltd,CNBC Awaaz,Hindi,Tata Steel Q4 Results: Q4 नतीजों और कंपनी की ग्रोथ पर MD & CEO T. V. Narendran से जानिए आउटलुक,https://www.youtube.com/watch?v=ZvkoNudwi4M
2026-05-18,Ganesh Housing Ltd-$,CNBC Awaaz,Hindi,"अहमदाबाद में टेक और GCC सेंटर का उद्घाटन, Ganesh Housing MD & CEO शेखर पटेल से जानिए आउटलुक",https://www.youtube.com/watch?v=w93a2E7vRbc
2026-05-18,Pearl Global Industries Ltd,ET NOW Swadesh,Hindi,"Pearl Global के Q4 Results, आय, मुनाफा, EBITDA और Margin पर MD Pallab Banerjee का Outlook | ETNS",https://www.youtube.com/watch?v=pEXGMMjstXQ
2026-05-18,Pearl Global Industries Ltd,ET NOW,English,Textile Sector Comeback? Pearl Global MD Explains FY27 Outlook | India’s FTA Advantage | ET Now,https://www.youtube.com/watch?v=RZw3p9341e4
2026-05-18,Vodafone Idea Ltd,CNBC-TV18,English,"Vodafone Idea Reports A Good Q4;  Promoter Aditya Birla To Infuse ₹4,730 Crore | CNBC TV18",https://www.youtube.com/watch?v=Ccg9OVymE9w
2026-05-17,Indian Hotels Company Ltd,Zee Business,Hindi,Can Domestic Tourism Get a Boost? Indian Hotels MD Puneet Chhatwal Explains,https://www.youtube.com/watch?v=NeE7-NvZSTM
2026-05-16,Vidya Wires Ltd,Zee Business,Hindi,Vidya Wire Q4 Results | Copper Price Swings Impact Vidya Wires? MD Shailesh Rathi,https://www.youtube.com/watch?v=RO2Bcox-Tsk
2026-05-15,Chalet Hotels Ltd,CNBC Awaaz,Hindi,Chalet Hotels Q4 Results: नतीजों और कंपनी की ग्रोथ स्ट्रैटेजी पर CFO नितिन खन्ना से खास चर्चा,https://www.youtube.com/watch?v=HpCUALdMg50
2026-05-15,NLC India Ltd,CNBC Awaaz,Hindi,NLC India Q4 Results: Q4 नतीजों पर NLC India के MD & चेयरमैन Prasanna Kumar M से जानिए आउटलुक,https://www.youtube.com/watch?v=l1SDX3q2Yb8
2026-05-15,Senco Gold Ltd,ET NOW Swadesh,Hindi,Senco Gold के MD & CEO Suvankar Sen ने बताया क्यों बढ़ी Gold-Silver पर Import Duty? | ET Now Swadesh,https://www.youtube.com/watch?v=DDsOnW-A1OI
2026-05-15,Vishal Mega Mart Ltd,ET NOW,English,Vishal Mega Mart’s Q4 Numbers Surprise The Street! CEO Explains Growth Strategy | Business News,https://www.youtube.com/watch?v=Q9uHqJx5ceM
2026-05-15,Vishal Mega Mart Ltd,Zee Business,Hindi,Vishal Mega Mart Future Plans Explained By MD & CEO Gunender Kapoor | Result Boardroom,https://www.youtube.com/watch?v=QMcFXVEfJYM
2026-05-14,LIC Housing Finance Ltd,ET NOW Swadesh,Hindi,"LIC Housing Finance के Q4 Results, Loan Growth और मुनाफा पर MD & CEO Tribhuvan Adhikari का Outlook",https://www.youtube.com/watch?v=oN-r6gMJEQQ
